Respondent_Serial,Wavemarker,Weightvar,resp_gender,resp_age,census_region,state,urb_rur,gender,gender_other,sexual_orientation,sexual_other,hurricane_type,flood_type,wildfire_type,tornado_type,earthquake_type,ice_storm_type,hazardous_type,other_type,none_type,concern_disaster,prepared_disaster,ever_evacuate,long_away,evacuated_pet_owner,dog_left_behind,cat_left_behind,horse_left_behind,small_left_behind,livestock_left_behind,none_left_behind,pet_friendly_accom_reason,transportation_reason,carrier_reason,time_reason,financal_reason,fine_reason,not_home_reason,behaviour_reason,other_reason,other_text_reason,disaster_plan,dog_current_own,cat_current_own,horse_current_own,small_current_own,livestock_current_own,would_bring_pet,secured_transportation,secured_emergency_housing,travel_carrier,food_water,litter,pet_id,medication,other_supplies,none_supplies,none,microchip_have,id_have,none_have,support_gov_fund,advice_pet,living_situation,marital,household_income,education,race,white_race,black_race,native_race,asian_race,pacific_islander_race,other_race,perfer_not_race,hispanic_ethnicity,household_grou,age_children,num_children
1353,1,2.09,Male,32,South,Maryland,Suburban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Somewhat concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,No idea,Own a house,Married,"$90,000-$99,999","Doctorate degree (PhD, EdD, etc.)",Asian/Pacific Islander,No,No,No,Yes,No,No,No,No,Almost all of it,Under 6 only,2
1355,1,1.38,Male,70,Midwest,Missouri,Suburban,Man,,Straight/heterosexual,,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Very concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,3,1,0,4,0,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,,Yes,Yes,No,Yes,Make sure they are microchipped.,Own a house,Widowed,"$125,000-$149,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1358,1,1.9,Male,55,Northeast,New Jersey,Suburban,Man,,Bisexual,,Yes,Yes,No,No,No,Yes,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Not sure,make sure you take essentials for them too,Own a house,Married,"$90,000-$99,999","1 or more years of college credit, no degree",Asian/Pacific Islander,No,No,No,Yes,No,No,No,No,About half of it,None Under 18,0
1362,1,1.28,Male,43,South,Texas,Suburban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Not concerned at all,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,3,0,0,0,0,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,,Yes,Yes,No,Yes,"Fuck your kids. Save your pets, instead.",Own a house,Married,"$30,000-$34,999","Bachelor's degree (BA, BS, etc.)",Hispanic or Latino (all other races/multiple races),No,No,No,No,No,Yes,No,Yes,About half of it,None Under 18,0
1369,1,0.44,Female,47,Northeast,New York,Rural,Woman,,Lesbian,,No,No,No,No,No,No,No,No,Yes,Not concerned at all,Somewhat not prepared,No,,,,,,,,,,,,,,,,,,,No,2,0,2,1,0,Yes,No,No,No,No,No,No,No,No,Yes,,No,Yes,No,Not sure,Na,Own a house,Married,"$70,000-$74,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,About half of it,None Under 18,0
1372,1,0.63,Male,58,West,Utah,Rural,Man,,Bisexual,,No,No,No,No,No,No,No,No,Yes,Somewhat not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,2,,,,,Yes,No,Yes,No,No,No,No,No,No,No,,No,Yes,No,No,"bring a good collar and leash, they will be difficult to handle under pressure.",Own a house,"Single, never married","$35,000-$39,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1380,1,1.13,Male,47,West,California,Suburban,Man,,Straight/heterosexual,,No,No,Yes,No,Yes,No,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,1,0,0,2,0,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,,No,No,Yes,No,Have everything prepared,Own a house,Married,"$250,000 or more","Bachelor's degree (BA, BS, etc.)",Prefer not to answer,No,No,No,No,No,No,Yes,Prefer not to answer,Less than half of it,Under 6 and 6-12,3
1387,1,0.99,Male,40,South,Oklahoma,Urban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Not concerned at all,Neither prepared nor not prepared,Yes,1-3 day,Yes,No,No,No,No,No,Yes,,,,,,,,,,,No,1,1,0,0,0,Yes,No,No,No,Yes,No,Yes,Yes,No,No,,No,No,Yes,Not sure,have everything arranged,Own a house,Married,"$80,000-$89,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,6-12 and 13-17,2
1390,1,0.47,Female,39,South,Tennessee,Suburban,Woman,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Somewhat not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,2,,,,Yes,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,No,Stay calm,Own a house,Divorced or separated,"$40,000-$44,999","1 or more years of college credit, no degree",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,13-17 Only,1
1391,1,0.51,Female,54,Midwest,Wisconsin,Rural,Woman,,Straight/heterosexual,,No,No,No,No,No,Yes,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,1,0,0,0,0,Yes,No,No,No,Yes,No,No,Yes,No,No,,No,Yes,No,Yes,Have everything you need on a check list in a folder so you don’t forget anything.,Own a house,Married,"$45,000-$49,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1392,1,0.47,Male,40,Northeast,New York,Suburban,Man,,Straight/heterosexual,,No,No,No,No,No,Yes,No,Yes,No,Neither concerned nor not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Not sure,Run,Own a house,"Single, never married","$40,000-$44,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1393,1,0.99,Male,31,South,Florida,Suburban,Man,,Straight/heterosexual,,Yes,No,No,No,No,No,No,No,No,Very concerned,Very prepared,Yes,4-7 days,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,1,,,,,Yes,No,No,Yes,No,No,No,No,No,No,,No,Yes,No,No,Follow news,Rent,Married,"$30,000-$34,999","Master's degree (MA, MS, MBA, etc.)",Asian/Pacific Islander,No,No,No,Yes,No,No,No,No,None,None Under 18,0
1397,1,0.48,Female,40,Midwest,Ohio,Rural,Woman,,Straight/heterosexual,,No,No,No,No,No,Yes,No,No,No,Somewhat not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,0,1,0,0,0,Yes,No,No,Yes,Yes,Yes,No,No,No,No,,No,No,Yes,Yes,i dont know,Live with parents/relatives,"Single, never married","$65,000-$69,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1398,1,1.03,Female,49,West,Nevada,Urban,Woman,,Straight/heterosexual,,No,Yes,Yes,No,No,Yes,No,No,No,Somewhat concerned,Somewhat prepared,Yes,1-3 day,Yes,No,No,No,No,No,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,poison control on emergency list,Rent,Married,"$80,000-$89,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,6-12 and 13-17,2
1399,1,0.57,Male,58,South,North Carolina,Urban,Man,,Straight/heterosexual,,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Somewhat concerned,Very prepared,No,,,,,,,,,,,,,,,,,,,Yes,1,,,,,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,,Yes,Yes,No,No,know what places will take your pets,Own a house,Married,"$70,000-$74,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
1405,1,0.63,Male,30,South,Georgia,Urban,Man,,Straight/heterosexual,,No,No,Yes,No,No,No,No,No,No,Very concerned,Somewhat prepared,Yes,1-3 day,Yes,No,No,No,No,No,Yes,,,,,,,,,,,Yes,1,1,0,0,0,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,,No,No,Yes,Yes,A good amount of food and money. and a vehicle to get out,Own a house,Married,"$60,000-$64,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,6-12 Only,1
1407,1,0.99,Female,37,South,Florida,Suburban,Woman,,Straight/heterosexual,,Yes,Yes,No,No,No,No,No,No,No,Somewhat concerned,Somewhat prepared,Yes,4-7 days,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,No,I have no experience in this area,Own a house,Married,"$150,000-$199,999","Professional degree (MD, DDS, JD, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,Under 6 and 6-12,4
1409,1,0.44,Female,49,South,Florida,Suburban,Woman,,Straight/heterosexual,,Yes,No,No,Yes,No,No,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,2,1,0,0,0,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,No,Yes,No,Yes,Take them with you,Own a house,Divorced or separated,"$50,000-$54,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1410,1,1.08,Female,53,Midwest,Missouri,Suburban,Woman,,Straight/heterosexual,,No,No,No,Yes,No,Yes,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,Just take them with you someone will take them in,Own a house,Living with partner,"$75,000-$79,999","1 or more years of college credit, no degree",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1416,1,0.99,Male,39,Northeast,Massachusetts,Suburban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Neither concerned nor not concerned,Somewhat prepared,Yes,1-3 day,No,,,,,,,,,,,,,,,,,Not sure,1,,,,,Yes,No,No,Yes,Yes,No,No,No,No,No,,Yes,No,No,No,Be sane,Own a house,Living with partner,"$125,000-$149,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
1417,1,2.32,Male,28,West,Oregon,Urban,Man,,Straight/heterosexual,,No,Yes,Yes,Yes,Yes,No,No,No,No,Somewhat concerned,Somewhat prepared,Yes,more than two weeks,No,,,,,,,,,,,,,,,,,No,1,0,0,0,0,Yes,Yes,No,No,Yes,No,Yes,No,No,No,,Yes,No,No,Yes,Yes,Rent,Living with partner,"$15,000-$19,999",GED or alternative credential,Hispanic or Latino (Black or African-American),No,Yes,No,No,No,No,No,Yes,Almost all of it,Under 6 only,1
1421,1,2.99,Female,30,South,Florida,Suburban,Woman,,Straight/heterosexual,,Yes,Yes,No,No,No,No,No,No,No,Very concerned,Somewhat not prepared,No,,,,,,,,,,,,,,,,,,,No,2,,,,,Yes,No,No,Yes,No,No,No,No,No,No,,No,Yes,No,Yes,You can never be too prepared.,Own a house,Married,"$80,000-$89,999","Bachelor's degree (BA, BS, etc.)",Hispanic or Latino (Black or African-American),No,Yes,No,No,No,No,No,Yes,All of it,Under 6 and 6-12,2
1423,1,0.47,Female,53,Northeast,Pennsylvania,Suburban,Woman,,Straight/heterosexual,,No,No,No,No,No,Yes,No,No,No,Somewhat concerned,Not prepared at all,No,,,,,,,,,,,,,,,,,,,No,3,13,,,,Yes,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,No,Yes,Microchip and register the chip,Own a house,Married,"$40,000-$44,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,13-17 Only,1
1425,1,0.99,Female,43,Northeast,New Jersey,Suburban,Woman,,Straight/heterosexual,,Yes,Yes,No,Yes,No,Yes,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,"Have the food, water, and other things you need packed and ready when you leave.",Own a house,Married,"$150,000-$199,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,6-12 and 13-17,2
1430,1,1.19,Female,32,Midwest,Michigan,Suburban,Woman,,Straight/heterosexual,,No,Yes,No,Yes,Yes,Yes,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,1,,,1,,Yes,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,No,Yes,"Definitely microchip, keep collars on or readily available, keep extra food",Own a house,Married,"$90,000-$99,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,About half of it,Under 6 only,2
1433,1,0.51,Female,53,Northeast,Pennsylvania,Suburban,Woman,,Straight/heterosexual,,No,Yes,No,No,No,Yes,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,1,2,0,22,0,Some but not all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,No,Yes,No,Yes,Make sure you have a complete plan for everyone/thing you plan to take. Also Maps/alternative routes in and out and common things that you could use in any event (like a flashlight),Live with parents/relatives,Married,"$40,000-$44,999","Bachelor's degree (BA, BS, etc.)","Native American, Alaska Native, Aleutian",Yes,No,Yes,No,No,No,No,No,All of it,Under 6 and 6-12,4
1434,1,0.69,Male,42,West,California,Urban,Man,,Gay,,No,No,Yes,No,Yes,No,No,No,No,Very concerned,Very prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,No,I don't know.,Own a house,"Single, never married","$70,000-$74,999","Bachelor's degree (BA, BS, etc.)",Asian/Pacific Islander,No,No,No,Yes,No,No,No,No,All of it,None Under 18,0
1435,1,0.66,Male,33,South,Louisiana,Urban,Man,,Straight/heterosexual,,Yes,Yes,No,No,No,No,No,No,No,Very concerned,Somewhat not prepared,No,,,,,,,,,,,,,,,,,,,Yes,2,0,0,0,0,Yes,No,Yes,No,Yes,No,Yes,No,No,No,,No,Yes,No,Yes,"As recommended by vets ive had in several states, a small amount of childs benadryl will help calm dogs in times of crisis/traveling if those dogs are skiddish/scared of car rides/storms.",Rent,Living with partner,"$45,000-$49,999","Some college credit, but less than 1 year",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,About half of it,None Under 18,0
1437,1,1.27,Male,71,Northeast,Pennsylvania,Rural,Man,,Straight/heterosexual,,No,No,No,No,No,Yes,No,No,No,Somewhat not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,No,Make sure you take your pet when you evacuate,Own a house,Married,"$80,000-$89,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,About half of it,None Under 18,0
1438,1,0.66,Male,67,Northeast,Pennsylvania,Rural,Man,,Straight/heterosexual,,No,No,No,No,No,Yes,No,No,No,Somewhat not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,I am not qualified to respond to this question.,Own a house,"Single, never married","$25,000-$29,999","Associate's degree (AA, AS, etc.)","Native American, Alaska Native, Aleutian",Yes,No,Yes,No,No,No,No,No,All of it,None Under 18,0
1441,1,1.54,Male,32,South,Kentucky,Rural,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,,3,,,,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,Yes,Have a plan,Own a house,Married,"$80,000-$89,999","Bachelor's degree (BA, BS, etc.)",Other,Yes,No,No,No,No,Yes,No,No,About half of it,None Under 18,1
1445,1,0.6,Male,65,South,Florida,Suburban,Man,,Bisexual,,Yes,No,No,No,No,No,No,No,No,Very concerned,Somewhat prepared,Yes,1-3 day,No,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,be ready,Rent,Widowed,"$25,000-$29,999","1 or more years of college credit, no degree",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1455,1,0.51,Female,44,Midwest,Illinois,Suburban,Woman,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Neither concerned nor not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,1,0,0,25,0,Some but not all,No,No,No,No,No,Yes,No,No,No,,Yes,No,No,Not sure,Have a current picture,Own a house,Married,"$40,000-$44,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1457,1,0.47,Female,53,Northeast,New Jersey,Urban,Woman,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Neither concerned nor not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,1,,,,Yes,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,Yes,save your pet,Rent,Married,"$45,000-$49,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1459,1,0.65,Male,66,Midwest,Missouri,Rural,Man,,Straight/heterosexual,,No,No,No,Yes,No,Yes,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,,1,,,,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,,No,No,Yes,Yes,Have what you need for pets health,Rent,Married,"$40,000-$44,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
1462,1,1.38,Male,69,Midwest,Wisconsin,Suburban,Man,,Straight/heterosexual,,No,No,No,No,No,Yes,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,Have an animal tag so lost animals can be returned to their owners.,Own a house,Married,"$80,000-$89,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,About half of it,None Under 18,0
1464,1,0.99,Male,38,South,Georgia,Urban,Man,,Straight/heterosexual,,No,No,No,No,Yes,No,No,No,No,Very concerned,Very prepared,Yes,1-3 day,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,Yes,1,1,,,,Yes,No,No,No,No,No,No,Yes,No,No,,Yes,No,No,Yes,Great,Own a house,Married,"$75,000-$79,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,6-12 Only,1
1467,1,0.99,Female,44,South,Georgia,Suburban,Woman,,Straight/heterosexual,,No,No,No,Yes,No,No,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,2,,,,,Yes,No,No,Yes,No,No,No,No,No,No,,Yes,Yes,No,Not sure,You need to have everything prepared in advance need to have all their medical records put together you need to have the micro chipped and also have proper identification on the dog,Own a house,Married,"$100,000-$124,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1469,1,1.09,Female,30,South,Maryland,Suburban,Woman,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Somewhat not concerned,Somewhat not prepared,No,,,,,,,,,,,,,,,,,,,No,0,2,0,0,0,Yes,No,No,Yes,Yes,No,No,No,No,No,,No,No,Yes,Yes,Have your pets trained to get into carriers and crates quickly,Own a house,Married,"$150,000-$199,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1470,1,1.27,Male,72,Northeast,Massachusetts,Urban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Neither concerned nor not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,No,get rid of the pet,Own a condo/co-op,"Single, never married","$75,000-$79,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1471,1,0.85,Male,55,South,Oklahoma,Suburban,Man,,Gay,,No,No,No,Yes,No,Yes,No,No,No,Very concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,No,"Think ahead, especially if you live in an area that experiences or prone to a certain type of natural disaster.  I live in Oklahoma and so I make plans and provisions in the event I am personally affected.",Own a house,"Single, never married","$50,000-$54,999","Master's degree (MA, MS, MBA, etc.)",Asian/Pacific Islander,No,No,No,Yes,No,No,No,No,All of it,None Under 18,0
1472,1,0.99,Male,49,Northeast,Massachusetts,Suburban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Somewhat concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Not sure,Save yourself,Own a house,Married,"$125,000-$149,999",Regular High School Diploma,White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,About half of it,None Under 18,0
1473,1,0.47,Male,48,South,Florida,Urban,Man,,Straight/heterosexual,,Yes,No,No,No,No,No,No,No,No,Not concerned at all,Neither prepared nor not prepared,Yes,4-7 days,Yes,No,No,No,No,No,Yes,,,,,,,,,,,No,1,,,,,Yes,No,No,No,No,No,No,No,No,Yes,,Yes,Yes,No,Yes,Bring him with you,Rent,Divorced or separated,"$45,000-$49,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1474,1,0.6,Male,58,South,Virginia,Suburban,Man,,Gay,,Yes,Yes,No,Yes,No,Yes,No,No,No,Very concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,0,6,0,0,0,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,No,No,Yes,Not sure,Have carriers in easy to reach places and decide which cat will go in what carrier,Own a house,Married,"$35,000-$39,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Less than half of it,None Under 18,0
1475,1,0.57,Male,69,South,Maryland,Suburban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Somewhat not concerned,Somewhat not prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,Don’t know,Own a house,Divorced or separated,"$50,000-$54,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1476,1,0.6,Male,60,South,Texas,Suburban,Man,,Straight/heterosexual,,No,No,No,Yes,No,Yes,No,No,No,Neither concerned nor not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,0,1,0,0,0,Yes,No,No,Yes,No,Yes,No,No,No,No,,No,Yes,No,Yes,Have a list of things to take for them,Rent,Married,"$30,000-$34,999","Some college credit, but less than 1 year",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
1478,1,0.48,Female,46,Midwest,Illinois,Urban,Woman,,Straight/heterosexual,,No,Yes,No,Yes,No,Yes,No,No,No,Somewhat concerned,Neither prepared nor not prepared,Yes,1-3 day,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,No,Have a bag ready to go,Rent,"Single, never married","$70,000-$74,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,All of it,None Under 18,0
1480,1,1.03,Female,43,West,New Mexico,Suburban,Woman,,Straight/heterosexual,,No,No,Yes,No,No,No,No,No,No,Not concerned at all,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,3,4,0,8,0,Yes,No,No,Yes,No,No,Yes,Yes,No,No,,Yes,Yes,No,Yes,"have a plan, any plan.  Leaving them behind is terrible.  Many run wild , die or end up in shelters and are never reunited.",Own a house,Married,"$75,000-$79,999","1 or more years of college credit, no degree",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
1483,1,0.47,Female,42,Northeast,Pennsylvania,Rural,Woman,,Straight/heterosexual,,No,Yes,No,No,No,Yes,No,No,No,Neither concerned nor not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Not sure,,2,,,,Yes,No,No,Yes,No,No,No,No,No,No,,Yes,No,No,Yes,Make sure to have all your pet needs,Own a house,Married,"$30,000-$34,999","Bachelor's degree (BA, BS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
1484,1,1.57,Male,58,Northeast,New York,Urban,Man,,Straight/heterosexual,,No,No,No,No,No,No,No,No,Yes,Not concerned at all,Somewhat not prepared,No,,,,,,,,,,,,,,,,,,,No,0,2,0,0,0,Yes,No,No,Yes,No,No,No,No,No,No,,No,No,Yes,Yes,Get your pets microchipped,Own a house,"Single, never married","$55,000-$59,999","Bachelor's degree (BA, BS, etc.)",Hispanic or Latino (White or Caucasian),Yes,No,No,No,No,No,No,Yes,Almost all of it,None Under 18,0
1485,1,0.44,Female,50,South,Texas,Suburban,Woman,,Straight/heterosexual,,Yes,No,No,No,No,No,No,No,No,Neither concerned nor not concerned,Neither prepared nor not prepared,No,,,,,,,,,,,,,,,,,,,No,,1,,,,No,Yes,No,No,No,No,No,No,No,No,,No,No,Yes,No,Have extra food and medication available,Rent,Married,"$70,000-$74,999","Master's degree (MA, MS, MBA, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,13-17 Only,1
1491,1,0.44,Male,39,South,Texas,Rural,Man,,Straight/heterosexual,,Yes,Yes,No,No,No,No,No,No,No,Somewhat concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,Yes,have a plan of where you can go,Rent,Living with partner,"$65,000-$69,999","1 or more years of college credit, no degree",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Almost all of it,None Under 18,0
1495,1,0.99,Male,39,Northeast,Connecticut,Rural,Man,,Straight/heterosexual,,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Neither concerned nor not concerned,Somewhat prepared,No,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,Yes,Have emergency supplies ready for your animals at all times,Own a house,Married,"$90,000-$99,999","Associate's degree (AA, AS, etc.)",White or Caucasian (not Hispanic or Latino),Yes,No,No,No,No,No,No,No,Less than half of it,Under 6 only,2
